Timestamp: 2024-06-23 08:51:46,668, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:51:47,904, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:51:49,534, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:51:50,942, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:52:00,836, URL: parVids, Downloaded: False, Download_Type: Multi
Timestamp: 2024-06-23 08:52:00,836, URL: parVids, Downloaded: False, Download_Type: Multi
Timestamp: 2024-06-23 08:52:00,837, URL: parVids, Downloaded: False, Download_Type: Multi
Timestamp: 2024-06-23 08:52:00,838, URL: parVids, Downloaded: False, Download_Type: https://www.youtube.com/watch?v=SAJWjnRIWcw
Timestamp: 2024-06-23 08:52:00,838, URL: parVids, Downloaded: False, Download_Type: Multi
Timestamp: 2024-06-23 08:52:15,227, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:52:16,767, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:52:18,089, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:52:19,571, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:52:20,969, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:52:23,826, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:52:24,318, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:52:24,858, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:52:24,865, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:52:24,870, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 21:14:51,676, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 21:14:56,215, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:49:31,909, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:49:35,517, URL: https://www.youtube.com/watch?v=hTghEXKNj7g, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:49:41,731, URL: https://www.youtube.com/watch?v=ZZZ7k8cMA-4, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:49:45,567, URL: https://www.youtube.com/watch?v=7XFLTDQ4JMk, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:49:48,590, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:49:51,202, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:49:53,779, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:49:56,413, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:49:58,942, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:50:01,393, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:50:04,075, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:50:06,924, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:50:09,060, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:50:12,241, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:50:15,447, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 08:50:30,336, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:31,569, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:33,700, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:34,859, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:35,118, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:35,225, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:35,227, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:36,121, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:36,324, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:37,577, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:37,672, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:37,757, URL: https://www.youtube.com/watch?v=hTghEXKNj7g, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:38,547, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:40,024, URL: https://www.youtube.com/watch?v=7XFLTDQ4JMk, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 08:50:42,692, URL: https://www.youtube.com/watch?v=ZZZ7k8cMA-4, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:46,099, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:48,111, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:49,912, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:49,958, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:50,589, URL: https://www.youtube.com/watch?v=ep-ieEG06qg, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:50,637, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:51,370, URL: https://www.youtube.com/watch?v=4WEQtgnBu0I, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:52,581, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:52,653, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:52,832, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:52,930, URL: https://www.youtube.com/watch?v=xPBBnS4br9w, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:52,950, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:53,243, URL: https://www.youtube.com/watch?v=iki_oqY3a44, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:53,547, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:53,567, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 11:08:55,701, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:08:57,288, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:08:58,859, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:00,609, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:02,323, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:04,043, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:05,488, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:06,987, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:07,976, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:09,830, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:11,613, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:13,688, URL: https://www.youtube.com/watch?v=xPBBnS4br9w, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:15,675, URL: https://www.youtube.com/watch?v=ep-ieEG06qg, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:16,907, URL: https://www.youtube.com/watch?v=4WEQtgnBu0I, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 11:09:18,334, URL: https://www.youtube.com/watch?v=iki_oqY3a44, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:17:59,304, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:00,939, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:01,081, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:01,225, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:01,419, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:01,657, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:01,697, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:01,776, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:01,778, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:02,551, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:02,890, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:02,939, URL: https://www.youtube.com/watch?v=ep-ieEG06qg, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:03,649, URL: https://www.youtube.com/watch?v=4WEQtgnBu0I, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:03,692, URL: https://www.youtube.com/watch?v=iki_oqY3a44, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:03,696, URL: https://www.youtube.com/watch?v=xPBBnS4br9w, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 12:18:04,787, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:06,048, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:07,087, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:08,427, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:09,618, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:10,551, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:11,547, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:12,712, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:13,580, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:14,556, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:15,511, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:16,668, URL: https://www.youtube.com/watch?v=xPBBnS4br9w, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:17,789, URL: https://www.youtube.com/watch?v=ep-ieEG06qg, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:18,826, URL: https://www.youtube.com/watch?v=4WEQtgnBu0I, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 12:18:19,879, URL: https://www.youtube.com/watch?v=iki_oqY3a44, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:14,301, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:17,579, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:17,848, URL: https://www.youtube.com/watch?v=xPBBnS4br9w, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:18,525, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:20,462, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:20,510, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:21,112, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:21,633, URL: https://www.youtube.com/watch?v=4WEQtgnBu0I, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:21,767, URL: https://www.youtube.com/watch?v=ep-ieEG06qg, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:22,207, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:22,448, URL: https://www.youtube.com/watch?v=iki_oqY3a44, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:22,672, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:22,704, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:23,399, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:23,497, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-24 13:16:27,175, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:29,408, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:31,544, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:34,154, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:36,839, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:39,050, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:41,369, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:43,799, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:45,409, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:48,222, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:50,830, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:53,563, URL: https://www.youtube.com/watch?v=xPBBnS4br9w, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:56,241, URL: https://www.youtube.com/watch?v=ep-ieEG06qg, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-24 13:16:58,115, URL: https://www.youtube.com/watch?v=4WEQtgnBu0I, Downloaded: True, Download_Type: Serial
